 v-sweep         v(Vdd)          i(Vout)        
 1.06000000e+00  1.06000000e+00  3.62870628e-07 
 1.07000000e+00  1.07000000e+00  3.92836232e-07 
 1.08000000e+00  1.08000000e+00  4.15816938e-07 
 1.09000000e+00  1.09000000e+00  4.33254193e-07 
 1.10000000e+00  1.10000000e+00  4.46560102e-07 
 1.11000000e+00  1.11000000e+00  4.56933313e-07 
 1.12000000e+00  1.12000000e+00  4.65282679e-07 
 1.13000000e+00  1.13000000e+00  4.72246127e-07 
 1.14000000e+00  1.14000000e+00  4.78252003e-07 
 1.15000000e+00  1.15000000e+00  4.83582489e-07 
 1.16000000e+00  1.16000000e+00  4.88423181e-07 
 1.17000000e+00  1.17000000e+00  4.92897217e-07 
 1.18000000e+00  1.18000000e+00  4.97087444e-07 
 1.19000000e+00  1.19000000e+00  5.01050483e-07 
 1.20000000e+00  1.20000000e+00  5.04825657e-07 
 1.21000000e+00  1.21000000e+00  5.08440539e-07 
 1.22000000e+00  1.22000000e+00  5.11914573e-07 
 1.23000000e+00  1.23000000e+00  5.15261373e-07 
 1.24000000e+00  1.24000000e+00  5.18490193e-07 
 1.25000000e+00  1.25000000e+00  5.21606916e-07 
 1.26000000e+00  1.26000000e+00  5.24614552e-07 
 1.27000000e+00  1.27000000e+00  5.27513637e-07 
 1.28000000e+00  1.28000000e+00  5.30302362e-07 
 1.29000000e+00  1.29000000e+00  5.32976655e-07 
 1.30000000e+00  1.30000000e+00  5.35530220e-07 
 1.31000000e+00  1.31000000e+00  5.37954678e-07 
 1.32000000e+00  1.32000000e+00  5.40239824e-07 
 1.33000000e+00  1.33000000e+00  5.42374021e-07 
 1.34000000e+00  1.34000000e+00  5.44344728e-07 
 1.35000000e+00  1.35000000e+00  5.46138828e-07 
 1.36000000e+00  1.36000000e+00  5.47742740e-07 
 1.37000000e+00  1.37000000e+00  5.49142244e-07 
 1.38000000e+00  1.38000000e+00  5.50322158e-07 
 1.39000000e+00  1.39000000e+00  5.51266129e-07 
 1.40000000e+00  1.40000000e+00  5.51956490e-07 
 1.41000000e+00  1.41000000e+00  5.52374330e-07 
 1.42000000e+00  1.42000000e+00  5.52499655e-07 
 1.43000000e+00  1.43000000e+00  5.52311717e-07 
 1.44000000e+00  1.44000000e+00  5.51789363e-07 
 1.45000000e+00  1.45000000e+00  5.50911627e-07 
 1.46000000e+00  1.46000000e+00  5.49658272e-07 
 1.47000000e+00  1.47000000e+00  5.48010702e-07 
 1.48000000e+00  1.48000000e+00  5.45953205e-07 
 1.49000000e+00  1.49000000e+00  5.43474612e-07 
 1.50000000e+00  1.50000000e+00  5.40570697e-07 
 1.51000000e+00  1.51000000e+00  5.37247091e-07 
 1.52000000e+00  1.52000000e+00  5.33522284e-07 
 1.53000000e+00  1.53000000e+00  5.29429415e-07 
 1.54000000e+00  1.54000000e+00  5.25015483e-07 
 1.55000000e+00  1.55000000e+00  5.20336997e-07 
 1.56000000e+00  1.56000000e+00  5.15453183e-07 
 1.57000000e+00  1.57000000e+00  5.10419401e-07 
 1.58000000e+00  1.58000000e+00  5.05282677e-07 
 1.59000000e+00  1.59000000e+00  5.00080317e-07 
 1.60000000e+00  1.60000000e+00  4.94840493e-07 
 1.61000000e+00  1.61000000e+00  4.89583914e-07 
 1.62000000e+00  1.62000000e+00  4.84325582e-07 
 1.63000000e+00  1.63000000e+00  4.79076375e-07 
 1.64000000e+00  1.64000000e+00  4.73844210e-07 
 1.65000000e+00  1.65000000e+00  4.68634910e-07 
