 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.50618870e-06  7.92965693e-12 
 0.00000000e+00  1.50620772e-06  4.89639604e-07 
 1.80000000e+00  1.50620783e-06  4.95751792e-07 
 1.80000000e+00  1.50620557e-06  6.19544650e-07 
 0.00000000e+00  1.50618870e-06  5.08112663e-07 
 0.00000000e+00  1.50622163e-06  6.77708428e-07 
 1.80000000e+00  1.50619381e-06  6.35931045e-07 
 1.80000000e+00  1.50621000e-06  6.88148731e-07 
 0.00000000e+00  1.50621233e-06  5.33917344e-07 
 0.00000000e+00  1.50623248e-06  7.19831320e-07 
 1.80000000e+00  1.50620942e-06  7.04259591e-07 
 1.80000000e+00  1.50622770e-06  7.65476926e-07 
 0.00000000e+00  1.50622441e-06  6.70768529e-07 
 0.00000000e+00  1.50621813e-06  7.74920167e-07 
 1.80000000e+00  1.50623810e-06  7.25095205e-07 
 1.80000000e+00  1.50620744e-06  7.49066160e-07 
 0.00000000e+00  1.50622380e-06  5.85198293e-07 
 0.00000000e+00  1.50622524e-06  7.68427341e-07 
 1.80000000e+00  1.50623497e-06  7.63100971e-07 
 1.80000000e+00  1.50622624e-06  8.22691476e-07 
 0.00000000e+00  1.50622252e-06  7.56907667e-07 
 0.00000000e+00  1.50623485e-06  8.45314503e-07 
 1.80000000e+00  1.50623592e-06  8.16330171e-07 
 1.80000000e+00  1.50623654e-06  8.41327292e-07 
 0.00000000e+00  1.50622792e-06  7.37503441e-07 
 0.00000000e+00  1.50622927e-06  8.49726192e-07 
 1.80000000e+00  1.50622785e-06  8.34402002e-07 
 1.80000000e+00  1.50622910e-06  8.69534091e-07 
 0.00000000e+00  1.50622498e-06  7.96131957e-07 
 0.00000000e+00  1.50625444e-06  8.67057835e-07 
 1.80000000e+00  1.50623961e-06  8.22437187e-07 
 1.80000000e+00  1.50621115e-06  8.34152345e-07 
 0.00000000e+00  1.50622100e-06  6.86199144e-07 
 0.00000000e+00  1.50623677e-06  8.47354301e-07 
 1.80000000e+00  1.50621784e-06  8.47906790e-07 
 1.80000000e+00  1.50624046e-06  8.98371582e-07 
 0.00000000e+00  1.50622999e-06  8.51208853e-07 
