 v1              i(Viin)         i(viout)       
 0.00000000e+00  1.51953255e-06  1.19450297e-06 
 1.80000000e+00  1.51954866e-06  1.20363005e-06 
 1.80000000e+00  1.51954862e-06  1.20663486e-06 
 0.00000000e+00  1.51954958e-06  1.22876919e-06 
 0.00000000e+00  1.51951252e-06  1.21265487e-06 
 1.80000000e+00  1.51952386e-06  1.21902745e-06 
 1.80000000e+00  1.51955919e-06  1.21817568e-06 
 0.00000000e+00  1.51952442e-06  1.23107186e-06 
 0.00000000e+00  1.51952727e-06  1.22249024e-06 
 1.80000000e+00  1.51952239e-06  1.23247268e-06 
 1.80000000e+00  1.51952793e-06  1.23317547e-06 
 0.00000000e+00  1.51957433e-06  1.26370868e-06 
 0.00000000e+00  1.51953944e-06  1.24247561e-06 
 1.80000000e+00  1.51952771e-06  1.25175882e-06 
 1.80000000e+00  1.51954515e-06  1.24899881e-06 
 0.00000000e+00  1.51953714e-06  1.27644805e-06 
 0.00000000e+00  1.51954747e-06  1.26176336e-06 
 1.80000000e+00  1.51952553e-06  1.28234305e-06 
 1.80000000e+00  1.51953122e-06  1.28585849e-06 
