 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.50282738e-06  1.10842016e-06 
 1.80000000e+00  1.50282738e-06  1.11936936e-06 
 1.80000000e+00  1.50280955e-06  1.12017132e-06 
 0.00000000e+00  1.50281454e-06  1.15424234e-06 
 0.00000000e+00  1.50281433e-06  1.12795981e-06 
 1.80000000e+00  1.50281419e-06  1.13430724e-06 
 1.80000000e+00  1.50282690e-06  1.12879518e-06 
 0.00000000e+00  1.50281390e-06  1.14829622e-06 
 0.00000000e+00  1.50280882e-06  1.13257411e-06 
 1.80000000e+00  1.50281763e-06  1.14650619e-06 
 1.80000000e+00  1.50282630e-06  1.14616857e-06 
 0.00000000e+00  1.50281318e-06  1.18517040e-06 
 0.00000000e+00  1.50280818e-06  1.15442882e-06 
 1.80000000e+00  1.50280783e-06  1.16627889e-06 
 1.80000000e+00  1.50281670e-06  1.16073404e-06 
 0.00000000e+00  1.50280697e-06  1.19807227e-06 
 0.00000000e+00  1.50280707e-06  1.17476429e-06 
 1.80000000e+00  1.50280638e-06  1.20465556e-06 
 1.80000000e+00  1.50280599e-06  1.20778995e-06 
