 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.49619618e-06  1.77209358e-11 
 0.00000000e+00  1.49619632e-06  2.81591312e-07 
 1.80000000e+00  1.49616119e-06  2.88373855e-07 
 1.80000000e+00  1.49617652e-06  3.51668291e-07 
 0.00000000e+00  1.49618603e-06  2.99455806e-07 
 0.00000000e+00  1.49622018e-06  3.87418808e-07 
 1.80000000e+00  1.49620038e-06  3.68888237e-07 
 1.80000000e+00  1.49619130e-06  3.99431300e-07 
 0.00000000e+00  1.49620591e-06  3.23405118e-07 
 0.00000000e+00  1.49620922e-06  4.21987579e-07 
 1.80000000e+00  1.49621367e-06  4.16482706e-07 
 1.80000000e+00  1.49622123e-06  4.55417862e-07 
 0.00000000e+00  1.49616932e-06  4.06956772e-07 
 0.00000000e+00  1.49618830e-06  4.67423760e-07 
 1.80000000e+00  1.49620024e-06  4.42396598e-07 
 1.80000000e+00  1.49620908e-06  4.59279192e-07 
 0.00000000e+00  1.49621421e-06  3.77712269e-07 
 0.00000000e+00  1.49620682e-06  4.76604157e-07 
 1.80000000e+00  1.49621009e-06  4.78712565e-07 
 1.80000000e+00  1.49622132e-06  5.16136112e-07 
 0.00000000e+00  1.49622301e-06  4.80946881e-07 
 0.00000000e+00  1.49621486e-06  5.37424071e-07 
 1.80000000e+00  1.49620523e-06  5.22676501e-07 
 1.80000000e+00  1.49622117e-06  5.41344278e-07 
 0.00000000e+00  1.49623499e-06  4.86912271e-07 
 0.00000000e+00  1.49620131e-06  5.54322710e-07 
 1.80000000e+00  1.49620091e-06  5.48729332e-07 
 1.80000000e+00  1.49622531e-06  5.73546757e-07 
 0.00000000e+00  1.49622841e-06  5.35397817e-07 
 0.00000000e+00  1.49622127e-06  5.79501972e-07 
 1.80000000e+00  1.49620942e-06  5.58065125e-07 
 1.80000000e+00  1.49620227e-06  5.68842864e-07 
 0.00000000e+00  1.49619554e-06  5.01547788e-07 
 0.00000000e+00  1.49621263e-06  5.84775194e-07 
 1.80000000e+00  1.49621566e-06  5.89571499e-07 
 1.80000000e+00  1.49620963e-06  6.23439036e-07 
 0.00000000e+00  1.49621627e-06  5.99891166e-07 
 0.00000000e+00  1.49622377e-06  6.45990909e-07 
 1.80000000e+00  1.49622527e-06  6.38481879e-07 
 1.80000000e+00  1.49620129e-06  6.55358321e-07 
 0.00000000e+00  1.49622295e-06  6.21133481e-07 
 0.00000000e+00  1.49621118e-06  6.70332170e-07 
 1.80000000e+00  1.49621137e-06  6.70029195e-07 
 1.80000000e+00  1.49621525e-06  6.91587303e-07 
 0.00000000e+00  1.49621178e-06  6.69063951e-07 
 0.00000000e+00  1.49622169e-06  7.01373594e-07 
 1.80000000e+00  1.49618864e-06  6.91219611e-07 
 1.80000000e+00  1.49621536e-06  7.01960886e-07 
 0.00000000e+00  1.49622821e-06  6.66496362e-07 
 0.00000000e+00  1.49621290e-06  7.15311401e-07 
 1.80000000e+00  1.49621778e-06  7.18541372e-07 
 1.80000000e+00  1.49621496e-06  7.38524847e-07 
 0.00000000e+00  1.49622872e-06  7.25782371e-07 
 0.00000000e+00  1.49620445e-06  7.53218259e-07 
 1.80000000e+00  1.49619812e-06  7.49604723e-07 
 1.80000000e+00  1.49622988e-06  7.61192467e-07 
 0.00000000e+00  1.49621893e-06  7.39926932e-07 
 0.00000000e+00  1.49620504e-06  7.71814243e-07 
 1.80000000e+00  1.49622326e-06  7.73143270e-07 
 1.80000000e+00  1.49621486e-06  7.86175050e-07 
 0.00000000e+00  1.49619116e-06  7.73925379e-07 
 0.00000000e+00  1.49620904e-06  7.95279561e-07 
 1.80000000e+00  1.49624255e-06  7.91241050e-07 
 1.80000000e+00  1.49621796e-06  7.98557039e-07 
 0.00000000e+00  1.49623375e-06  7.78953478e-07 
 0.00000000e+00  1.49622458e-06  8.14526786e-07 
 1.80000000e+00  1.49624395e-06  8.21834703e-07 
 1.80000000e+00  1.49622875e-06  8.37076087e-07 
 0.00000000e+00  1.49622247e-06  8.34964609e-07 
 0.00000000e+00  1.49623858e-06  8.52487602e-07 
 1.80000000e+00  1.49626669e-06  8.56517175e-07 
 1.80000000e+00  1.49622083e-06  8.66223516e-07 
 0.00000000e+00  1.49620597e-06  8.64239581e-07 
 0.00000000e+00  1.49622309e-06  8.78503627e-07 
 1.80000000e+00  1.49623550e-06  8.84798965e-07 
 1.80000000e+00  1.49621637e-06  8.92065174e-07 
 0.00000000e+00  1.49623263e-06  8.96021632e-07 
 0.00000000e+00  1.49622458e-06  9.04429371e-07 
 1.80000000e+00  1.49621816e-06  9.10002598e-07 
