 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.51721187e-06  1.25697125e-06 
 1.80000000e+00  1.51721210e-06  1.25912604e-06 
 1.80000000e+00  1.51721352e-06  1.26118525e-06 
 0.00000000e+00  1.51723496e-06  1.26747628e-06 
 0.00000000e+00  1.51722283e-06  1.26637703e-06 
 1.80000000e+00  1.51721254e-06  1.26818233e-06 
 1.80000000e+00  1.51721275e-06  1.26889643e-06 
 0.00000000e+00  1.51725799e-06  1.27640459e-06 
 0.00000000e+00  1.51722767e-06  1.27314628e-06 
 1.80000000e+00  1.51725784e-06  1.27875651e-06 
 1.80000000e+00  1.51723606e-06  1.27864197e-06 
 0.00000000e+00  1.51726564e-06  1.29269793e-06 
 0.00000000e+00  1.51725260e-06  1.28430901e-06 
 1.80000000e+00  1.51721250e-06  1.28680988e-06 
 1.80000000e+00  1.51722115e-06  1.28621446e-06 
 0.00000000e+00  1.51720684e-06  1.29946568e-06 
 0.00000000e+00  1.51721198e-06  1.29240885e-06 
 1.80000000e+00  1.51721176e-06  1.30421593e-06 
 1.80000000e+00  1.51721818e-06  1.30667974e-06 
