 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.47106531e-06  4.86011231e-12 
 0.00000000e+00  1.47108279e-06  5.73497658e-08 
 1.80000000e+00  1.47108238e-06  6.25356193e-08 
 1.80000000e+00  1.47108631e-06  7.61722703e-08 
 0.00000000e+00  1.47108230e-06  7.44541211e-08 
 0.00000000e+00  1.47109025e-06  9.16354281e-08 
 1.80000000e+00  1.47108170e-06  9.56770947e-08 
 1.80000000e+00  1.47107467e-06  1.06030043e-07 
 0.00000000e+00  1.47108692e-06  1.05441600e-07 
 0.00000000e+00  1.47107302e-06  1.23277417e-07 
 1.80000000e+00  1.47109079e-06  1.30696449e-07 
 1.80000000e+00  1.47108507e-06  1.42555095e-07 
 0.00000000e+00  1.47107315e-06  1.47192665e-07 
 0.00000000e+00  1.47110362e-06  1.60628517e-07 
 1.80000000e+00  1.47109874e-06  1.68029260e-07 
 1.80000000e+00  1.47106672e-06  1.78753865e-07 
 0.00000000e+00  1.47108970e-06  1.83872586e-07 
 0.00000000e+00  1.47111583e-06  1.98318403e-07 
 1.80000000e+00  1.47109172e-06  2.08490150e-07 
 1.80000000e+00  1.47106543e-06  2.20255600e-07 
 0.00000000e+00  1.47108355e-06  2.28640801e-07 
 0.00000000e+00  1.47109889e-06  2.40886379e-07 
 1.80000000e+00  1.47111134e-06  2.50352841e-07 
 1.80000000e+00  1.47107852e-06  2.61322384e-07 
 0.00000000e+00  1.47108355e-06  2.70225328e-07 
 0.00000000e+00  1.47109866e-06  2.82218522e-07 
 1.80000000e+00  1.47107806e-06  2.92425284e-07 
 1.80000000e+00  1.47106626e-06  3.03367102e-07 
 0.00000000e+00  1.47110060e-06  3.13267165e-07 
 0.00000000e+00  1.47106628e-06  3.24364336e-07 
 1.80000000e+00  1.47110022e-06  3.34627771e-07 
 1.80000000e+00  1.47109951e-06  3.45432554e-07 
 0.00000000e+00  1.47110907e-06  3.57128002e-07 
 0.00000000e+00  1.47107804e-06  3.67872929e-07 
 1.80000000e+00  1.47107179e-06  3.78524149e-07 
 1.80000000e+00  1.47108310e-06  3.89065733e-07 
 0.00000000e+00  1.47110353e-06  3.99973558e-07 
 0.00000000e+00  1.47109278e-06  4.10165427e-07 
 1.80000000e+00  1.47108255e-06  4.21083811e-07 
 1.80000000e+00  1.47108288e-06  4.31383143e-07 
 0.00000000e+00  1.47107458e-06  4.43065488e-07 
 0.00000000e+00  1.47110608e-06  4.52645793e-07 
 1.80000000e+00  1.47110591e-06  4.63481499e-07 
 1.80000000e+00  1.47107865e-06  4.73598050e-07 
 0.00000000e+00  1.47110842e-06  4.85279841e-07 
 0.00000000e+00  1.47110277e-06  4.94938561e-07 
 1.80000000e+00  1.47107872e-06  5.06324852e-07 
 1.80000000e+00  1.47109334e-06  5.16784908e-07 
 0.00000000e+00  1.47109884e-06  5.29071784e-07 
 0.00000000e+00  1.47106424e-06  5.37675788e-07 
 1.80000000e+00  1.47107878e-06  5.48545444e-07 
 1.80000000e+00  1.47110344e-06  5.58133181e-07 
 0.00000000e+00  1.47107973e-06  5.70317553e-07 
 0.00000000e+00  1.47106927e-06  5.79238389e-07 
 1.80000000e+00  1.47110361e-06  5.90649194e-07 
 1.80000000e+00  1.47109733e-06  6.00758909e-07 
 0.00000000e+00  1.47107813e-06  6.14018063e-07 
 0.00000000e+00  1.47110241e-06  6.22182114e-07 
 1.80000000e+00  1.47107436e-06  6.33436855e-07 
 1.80000000e+00  1.47109010e-06  6.42987018e-07 
 0.00000000e+00  1.47107116e-06  6.55959724e-07 
 0.00000000e+00  1.47108952e-06  6.64750004e-07 
 1.80000000e+00  1.47106962e-06  6.77002404e-07 
 1.80000000e+00  1.47109066e-06  6.87406740e-07 
 0.00000000e+00  1.47106578e-06  7.00836509e-07 
 0.00000000e+00  1.47107783e-06  7.07642897e-07 
 1.80000000e+00  1.47109824e-06  7.18185248e-07 
 1.80000000e+00  1.47108894e-06  7.26798959e-07 
 0.00000000e+00  1.47109038e-06  7.39260130e-07 
 0.00000000e+00  1.47107658e-06  7.46550967e-07 
 1.80000000e+00  1.47105912e-06  7.58197544e-07 
 1.80000000e+00  1.47107318e-06  7.67447077e-07 
 0.00000000e+00  1.47109918e-06  7.81459988e-07 
 0.00000000e+00  1.47105820e-06  7.87874527e-07 
 1.80000000e+00  1.47105749e-06  7.98753774e-07 
 1.80000000e+00  1.47107786e-06  8.07345614e-07 
 0.00000000e+00  1.47105684e-06  8.20700009e-07 
 0.00000000e+00  1.47110223e-06  8.28024667e-07 
 1.80000000e+00  1.47108948e-06  8.40162741e-07 
 1.80000000e+00  1.47108554e-06  8.49852697e-07 
 0.00000000e+00  1.47105600e-06  8.64409770e-07 
 0.00000000e+00  1.47105456e-06  8.69740859e-07 
 1.80000000e+00  1.47105406e-06  8.80370621e-07 
 1.80000000e+00  1.47106497e-06  8.88076244e-07 
 0.00000000e+00  1.47105301e-06  9.01457426e-07 
 0.00000000e+00  1.47109871e-06  9.07890964e-07 
 1.80000000e+00  1.47109054e-06  9.19685149e-07 
 1.80000000e+00  1.47108571e-06  9.28713774e-07 
 0.00000000e+00  1.47105145e-06  9.43783306e-07 
 0.00000000e+00  1.47109404e-06  9.48996970e-07 
 1.80000000e+00  1.47106472e-06  9.60058728e-07 
 1.80000000e+00  1.47106209e-06  9.68128660e-07 
 0.00000000e+00  1.47104956e-06  9.82616797e-07 
 0.00000000e+00  1.47106114e-06  9.88907544e-07 
 1.80000000e+00  1.47108803e-06  1.00189889e-06 
 1.80000000e+00  1.47108129e-06  1.01138767e-06 
 0.00000000e+00  1.47108879e-06  1.02897033e-06 
 0.00000000e+00  1.47107577e-06  1.03186368e-06 
 1.80000000e+00  1.47108693e-06  1.04199624e-06 
 1.80000000e+00  1.47108800e-06  1.04843583e-06 
 0.00000000e+00  1.47109215e-06  1.06213915e-06 
 0.00000000e+00  1.47108679e-06  1.06636823e-06 
 1.80000000e+00  1.47108625e-06  1.07824626e-06 
 1.80000000e+00  1.47105902e-06  1.08590270e-06 
 0.00000000e+00  1.47105807e-06  1.10192660e-06 
 0.00000000e+00  1.47107229e-06  1.10469250e-06 
 1.80000000e+00  1.47107176e-06  1.11541473e-06 
 1.80000000e+00  1.47107590e-06  1.12191361e-06 
 0.00000000e+00  1.47107323e-06  1.13693072e-06 
 0.00000000e+00  1.47107229e-06  1.14095690e-06 
 1.80000000e+00  1.47104669e-06  1.15373571e-06 
 1.80000000e+00  1.47104536e-06  1.16194946e-06 
 0.00000000e+00  1.47107957e-06  1.18038595e-06 
 0.00000000e+00  1.47107775e-06  1.18003172e-06 
 1.80000000e+00  1.47107360e-06  1.19001326e-06 
 1.80000000e+00  1.47107795e-06  1.19443125e-06 
 0.00000000e+00  1.47104551e-06  1.20935313e-06 
 0.00000000e+00  1.47107689e-06  1.21063428e-06 
