 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.55098808e-06  1.32729383e-11 
 0.00000000e+00  1.55100141e-06  4.20823682e-07 
 1.80000000e+00  1.55100678e-06  4.26605496e-07 
 1.80000000e+00  1.55098954e-06  5.22856837e-07 
 0.00000000e+00  1.55099244e-06  4.39484324e-07 
 0.00000000e+00  1.55102194e-06  5.70699299e-07 
 1.80000000e+00  1.55099090e-06  5.40021801e-07 
 1.80000000e+00  1.55098220e-06  5.81795973e-07 
 0.00000000e+00  1.55098708e-06  4.63844344e-07 
 0.00000000e+00  1.55099750e-06  6.08031556e-07 
 1.80000000e+00  1.55102149e-06  5.98307125e-07 
 1.80000000e+00  1.55096804e-06  6.48337476e-07 
 0.00000000e+00  1.55102009e-06  5.74112008e-07 
 0.00000000e+00  1.55096895e-06  6.57832373e-07 
 1.80000000e+00  1.55098551e-06  6.19968660e-07 
 1.80000000e+00  1.55100193e-06  6.41336257e-07 
 0.00000000e+00  1.55101878e-06  5.15003890e-07 
 0.00000000e+00  1.55101885e-06  6.58280840e-07 
 1.80000000e+00  1.55100617e-06  6.56674715e-07 
 1.80000000e+00  1.55101706e-06  7.05778731e-07 
 0.00000000e+00  1.55102276e-06  6.53076739e-07 
 0.00000000e+00  1.55100307e-06  7.26290381e-07 
 1.80000000e+00  1.55097193e-06  7.02808649e-07 
 1.80000000e+00  1.55099768e-06  7.25582453e-07 
 0.00000000e+00  1.55102656e-06  6.45074849e-07 
 0.00000000e+00  1.55101571e-06  7.35927813e-07 
 1.80000000e+00  1.55101378e-06  7.24221294e-07 
 1.80000000e+00  1.55099226e-06  7.54023532e-07 
 0.00000000e+00  1.55099124e-06  6.97259608e-07 
 0.00000000e+00  1.55098939e-06  7.53549330e-07 
 1.80000000e+00  1.55099026e-06  7.21989309e-07 
 1.80000000e+00  1.55102960e-06  7.33685596e-07 
 0.00000000e+00  1.55098929e-06  6.23414778e-07 
 0.00000000e+00  1.55097381e-06  7.45925249e-07 
 1.80000000e+00  1.55099494e-06  7.48565057e-07 
 1.80000000e+00  1.55099482e-06  7.90363117e-07 
 0.00000000e+00  1.55099777e-06  7.53059169e-07 
 0.00000000e+00  1.55097847e-06  8.12277975e-07 
 1.80000000e+00  1.55097834e-06  7.97902885e-07 
 1.80000000e+00  1.55097896e-06  8.17465093e-07 
 0.00000000e+00  1.55102997e-06  7.64780012e-07 
